,지역,번지,본번,부번,아파트,면적,계약년월,계약일,가격,층,건축년도,도로명,비쌈
27123,서울특별시 강남구 역삼동,713-11,713,11,역삼 I'PARK,28.246,201910,11,76000,8,2006,역삼로 307,True
27124,서울특별시 강남구 역삼동,713-11,713,11,역삼 I'PARK,28.246,201910,12,74000,11,2006,역삼로 307,True
27130,서울특별시 강남구 역삼동,706-11,706,11,우림루미아트1,24.0,201910,11,20500,10,2003,언주로90길 6,True
27132,서울특별시 강남구 역삼동,706-20,706,20,한화진넥스빌,43.58,201910,29,38000,26,2001,언주로86길 11,True
27133,서울특별시 강남구 일원동,711,711,0,수서,49.68,201910,2,84000,1,1992,양재대로55길 12,True
27145,서울특별시 강남구 청담동,122-35,122,35,청담 신원아침도시마인,49.1764,201910,25,75000,10,2013,도산대로85길 30,True
27147,서울특별시 강남구 청담동,134-38,134,38,청담자이,49.619,201910,8,174000,17,2011,영동대로138길 12,True
27202,서울특별시 강동구 길동,388-7,388,7,다성이즈빌,36.35,201910,1,27000,13,2015,천중로42길 69,True
27231,서울특별시 강동구 둔촌동,94-16,94,16,동아,48.1,201910,19,38900,8,1992,진황도로61길 18,True
27302,서울특별시 강동구 명일동,15,15,0,삼익그린2차,42.93,201910,19,65000,2,1983,고덕로 210,True
27322,서울특별시 강동구 성내동,244-8,244,8,늘조은,38.75,201910,12,34250,9,2003,천호대로176길 10-20,True
27323,서울특별시 강동구 성내동,551-4,551,4,다성이즈빌,35.11,201910,2,27500,3,2014,성내로8길 22,True
27325,서울특별시 강동구 성내동,434-13,434,13,다성이즈빌 아파트,34.48,201910,9,34000,3,2016,성내로 91,True
27336,서울특별시 강동구 성내동,194,194,0,에스케이허브진,33.71,201910,15,27900,7,2004,천호대로 1092,True
27374,서울특별시 강동구 천호동,44,44,0,금호아파트,27.61,201910,16,25000,10,1987,양재대로 1557,True
27403,서울특별시 강동구 천호동,410-105,410,105,현대프라자아파트,46.93,201910,2,52000,9,1990,진황도로 18,True
27417,서울특별시 강북구 미아동,8-318,8,318,두예파크빌,48.88,201910,8,22000,1,2005,월계로21나길 27,True
27467,서울특별시 강북구 번동,242,242,0,주공1단지,41.3,201910,4,29000,2,1991,한천로105길 23,True
27468,서울특별시 강북구 번동,242,242,0,주공1단지,49.94,201910,5,36000,10,1991,한천로105길 23,True
27469,서울특별시 강북구 번동,242,242,0,주공1단지,41.3,201910,10,29200,5,1991,한천로105길 23,True
27470,서울특별시 강북구 번동,242,242,0,주공1단지,49.94,201910,11,36500,7,1991,한천로105길 23,True
27485,서울특별시 강북구 수유동,50-20,50,20,태솔캡슬,49.37,201910,17,23500,7,2012,도봉로71가길 35,True
27488,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),39.6,201910,5,39000,3,1992,허준로 47,True
27489,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),34.44,201910,8,33500,2,1992,허준로 47,True
27490,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),39.6,201910,8,33500,1,1992,허준로 47,True
27491,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),34.44,201910,9,33500,5,1992,허준로 47,True
27492,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),49.56,201910,10,50500,5,1992,허준로 47,True
